poem_name,poet_name,poem_text,rank
Biliyorum Sana Giden Yollar Kapalı,Cemal Süreya,"Biliyorum sana giden yollar kapalı
Üstelik sen de hiç bir zaman sevmedin beni
Ne kadar yakından ve arada uçurum; 
İnsanlar, evler, aramızda duvarlar gibi
Uyandım uyandım, hep seni düşündüm
Yalnız seni, yalnız senin gözlerini
Sen Bayan Nihayet, sen ölümüm kalımım
Ben artık adam olmam bu derde düşeli
Şimdilerde bir köpek gibi koşuyorum ordan o....................",27
Sessiz Gemi,Yahya Kemal Beyatlı,"Artık demir almak günü gelmişse zamandan, 
Meçhule giden bir gemi kalkar bu limandan. 
Hiç yolcusu yokmuş gibi sessizce alır yol; 
Sallanmaz o kalkışta ne men....................",28
Desem Ki,Cahit Sıtkı Tarancı,"Desem ki vakitlerden bir Nisan akşamıdır, 
Rüzgarların en ferahlatıcısı senden esiyor, 
Sende seyrediyorum denizlerin en mavisini, 
Ormanların en kuytusunu sende gezmekteyim, 
Senden kopardım çiçeklerin en solmazını, 
Toprakların en bereketlisini sende sürdüm, 
Senden tattım yemişlerin cümlesini.",29
Bana Seni Gerek Seni,Yunus Emre,"Aşkın aldı benden beni 
Bana seni gerek seni 
Ben yanarım dün ü günü 
Bana seni gerek seni 
Ne varlığa sevinirim 
Ne yokluğa yerinirim 
Aşkın ile avunurum 
Bana seni gerek seni 
Aşkın aşıklar oldurur 
Aşk denizine daldırır 
Tecelli ile doldurur 
Bana seni gerek seni 
Aşkın şarabından içem 
Mecnun olup dağa düşem 
Sensin dünü gün endişem 
Bana seni gerek seni 
Sufilere sohbet gerek 
Ahilere ahret gerek 
Mecnunlara Leyla gerek 
Bana seni gerek seni 
Eğer beni öldüreler 
Külüm göğe savuralar 
Toprağım anda çağıra 
Bana seni gerek seni 
Cennet cennet dedikleri 
Birkaç köşkle birkaç huri 
İsteyene Ver anları 
Bana seni gerek seni 
Yunus'dürür benim adım 
Gün geçtikçe artar odum 
İki cihanda maksudum 
Bana seni gerek seni",30
Yaşadıklarımdan Öğrendiğim Bir Şey Var,Ataol Behramoğlu,"Yaşadıklarımdan öğrendiğim bir şey var: 
Yaşadın mı, yoğunluğuna yaşayacaksın bir şeyi
Sevgilin bitkin kalmalı öpülmekten
Sen bitkin düşmelisin koklamaktan bir çiçeği
İnsan saatlerce bakabilir gökyüzüne
Denize saatlerce bakabilir, bir kuşa, bir çocuğa
Yaşamak yeryüzünde, onunla karışmaktır
Kopmaz kökler salmaktır oraya
Kucakladın mı sımsıkı kucaklayacaksın arkadaşını
Kavgaya tüm kaslarınla, gövdenle....................",31
Aşk,Cemal Süreya,"Şimdi sen kalkıp gidiyorsun. Git 
Gözlerin durur mu onlar da gidiyorlar. Gitsinler.
Oysa ben senin gözlerinsiz edemem bilirsin 
Oysa Allah bilir bugün iyi uyanmıştık 
Sevgideydi ilk açılışı gözlerimizin sırf onaydı 
Bir kuş konmuş parmaklarıma uzun uzun ötmüştü 
Bir sevişmek gelmiş bir daha gitmemişti 
Yoktu dünlerde evelsi gün....................",32
Dilenci,Victor Hugo,"Sen, her gün köşe başlarında
Yırtık urbanla kirli ellerinle
Avuç açan, sefil insan.
İnan yok farkımız birbirimizden.
Sen belki tüm yaşamınca dilenecek; 
Beklediğin beş kuruşu biri vermezse,
Ötekinden isteyeceksin.
Ama ben, tüm yaşamım boyunca
Tek bir kez dilendim,
Bir acımasız kalbin sevdası ile alevlendim.
Öylesine boş öylesine açık kaldı ki elim,
Yemin ettim bir daha dilenmeyeceğim.",33
Çile,Necip Fazıl Kısakürek,"Gâiblerden bir ses geldi: Bu adam,        
Gezdirsin boşluğu ense kökünde! 
Ve uçtu tepemden birdenbire dam;         
Gök devrildi, künde üstüne künde...
Pencereye koştum: Kızıl kıyamet!
Dediklerin çıktı, ihtiyar bacı!          
Sonsuzluk, elinde bir mavi tülbent, 
Ok çekti yukardan, üstüme avcı.
Ateşten zehrini tattım bu okun.      
Bir anda kül etti can elmasımı.      
Sanki burnum, değdi burnuna ""yok""un,    
Kustum, öz ağzımdan kafatasımı.
Bir bardak su gibi çalkandı dünya; 
Söndü istikamet, yıkıldı boşluk.     
Al sana hakikat, al sana rüya!      
İşte akıllılık, işte sarhoşluk! 
Ensemin örsünde bir demir balyoz,
Kapandım yatağa son çare diye. 
Bir kanlı şafakta, bana çil horoz,  
Yepyeni bir dünya etti hediye.       
Bu nasıl bir dünya hikâyesi zor;    
Mekânı bir satıh, zamanı vehim.   
Bütün bir kâinat muşamba dekor,
Bütün bir insanlık yalana teslim.
Nesin sen, hakikat olsan da çekil! 
Yetiş körlük, yetiş, takma gözde cam!     
Otursun yerine bende her şekil;    
Vatanım, sevgilim, dostum ve hocam! 
.
.
.
.
Aylarca gezindim, yıkık ve şaşkın,
Benliğim bir kazan ve aklım kepçe.         
Deliler köyünden bir menzil aşkın,
Her fikir içimde bir çift kelepçe.
Niçin küçülüyor eşya uzakta?       
Gözsüz görüyorum rüyada, nasıl? 
Zamanın raksı ne, bir yuvarlakta? 
Sonum varmış, onu öğrensem asıl? 
Bir fikir ki, sıcak yarada kezzap,  
Bir fikir ki, beyin zarında sülük.     
Selâm, selâm sana haşmetli azap;         
Yandıkça gelişen tılsımlı kütük.

Yalvardım: Gösterin bilmeceme yol!        
Ey yedinci kat gök, esrarını aç!    
Annemin duası, düş de perde ol! 
Bir asâ kes bana, ihtiyar ağaç!    
Uyku, kaatillerin bile çeşmesi;      
Yorgan, Allahsıza kadar sığınak.  
Teselli pınarı, sabır memesi;         
Size şerbet, bana kum dolu çanak.
Bu mu, rüyalarda içtiğim cinnet,   
Sırrını ararken patlayan gülle?      
Yeşil asmalarda depreniş, şehvet; 
Karınca sarayı, kupkuru kelle...
Akrep, nokta nokta ruhumu sokmuş,       
Mevsimden mevsime girdim böylece.    
Gördüm ki, ateşte, cımbızda yokmuş,     
Fikir çilesinden büyük işkence.    
.
.
.
.
Evet, her şey bende bir gizli düğüm;       
Ne ölüm terleri döktüm, nelerden!
Dibi yok göklerden yeter ürktüğüm,         
Yetişir çektiğim mesafelerden! 
Ufuk bir tilkidir, kaçak ve kurnaz;  
Yollar bir yumaktır, uzun, dolaşık.  
Her gece rüyamı yazan sihirbaz,  
Tutuyor önümde bir mavi ışık.       
Büyücü, büyücü ne bana hıncın?   
Bu kükürtlü duman, nedir inimde?
Camdan keskin, kıldan ince kılıcın,          
Bir zehirli kıymık gibi, beynimde.
Lûgat, bir isim ver bana halimden; 
Herkesin bildiği dilden bir isim!   
Eski esvaplarım, tutun elimden;    
Aynalar, söyleyin bana, ben kimim? 
Söyleyin, söyleyin, ben miyim yoksa,      
Arzı boynuzunda taşıyan öküz?     
Belâ mimarının seçtiği arsa;         
Hayattan muhacir, eşyadan öksüz? 
Ben ki, toz kanatlı bir kelebeğim, 
Minicik gövdeme yüklü Kafdağı,  
Bir zerreciğim ki, Arş'a gebeyim, 
Dev sancılarımın budur kaynağı! 
Ne yalanlarda var, ne hakikatta,   
Gözümü yumdukça gördüğüm nakış.      
Boşuna gezmişim, yok tabiatta,   
İçimdeki kadar iniş ve çıkış.
.
.
.
.
Gece bir hendeğe düşercesine,  
Birden kucağına düştüm gerçeğin.          
Sanki erdim çetin bilmecesine,
Hem geçmiş zamanın, hem geleceğin.
Açıl susam açıl! Açıldı kapı; 
Atlas sedirinde mâverâ dede.      
Yandı sırça saray, ilâhî yapı,          
Binbir âvizeyle uçsuz maddede.
Atomlarda cümbüş, donanma, şenlik;     
Ve çevre çevre nur, çevre çevre nur.       
İçiçe mimarî, içiçe benlik;  
Bildim seni ey Rab, bilinmez meşhur! 
Nizam köpürüyor, med vakti deniz;          
Nizam köpürüyor, ta çenemde su. 
Suda bir gizli yol, pırıltılı iz; 
Suda ezel fikri, ebed duygusu.
Kaçır beni âhenk, al beni birlik;    
Artık barınamam gölge varlıkta.    
Ver cüceye, onun olsun şairlik,     
Şimdi gözüm, büyük sanatkârlıkta.

Öteler öteler, gayemin malı;          
Mesafe ekinim, zaman madenim.
Gökte saman yolu benim olmalı;  
Dipsizlik gölünde, inciler benim.
Diz çök ey zorlu nefs, önümde diz çök!   
Heybem hayat dolu, deste ve yumak.      
Sen, bütün dalların birleştiği kök; 
Biricik meselem, Sonsuza varmak...",34
Zindandan Mehmed'e Mektup,Necip Fazıl Kısakürek,"Zindan iki hece, Mehmed'im lâfta! 
Baba katiliyle baban bir safta! 
Bir de, geri adam, boynunda yafta...
     Halimi düşünüp yanma Mehmed'im!         
     Kavuşmak mı? .. Belki... Daha ölmedim!                                           
Avlu... Bir uzun yol... Tuğla döşeli,
Kırmızı tuğlalar altı köşeli.
     Bu yol da tutuktur hapse düşeli...
     Git ve gel... Yüz adım... Bin yıllık konak.
Ne ayak dayanır buna, ne tırnak!         
Bir âlem ki, gökler boru içinde! 
Akıl, olmazların zoru içinde.
Üstüste sorular soru içinde:
     Düşün mü, konuş mu, sus mu, unut mu? 
     Buradan insan mı çıkar, tabut mu? 
Bir idamlık Ali vardı, asıldı; 
Kaydını düştüler, mühür basıldı.
Geçti gitti, birkaç günlük fasıldı.    
     Ondan kalan, boynu bükük ve sefil; 
     Bahçeye diktiği üç beş karanfil...
Müdür bey dert dinler, bugün 'maruzât'! 
Çatık kaş.. Hükûmet dedikleri zat...
Beni Allah tutmuş, kim eder azat? 
     Anlamaz; yazısız, pulsuz, dilekçem...
     Anlamaz; ruhuma geçti bilekçem! 
Saat beş dedi mi, bir yırtıcı zil; 
Sayım var, maltada hizaya dizil! 
Tek yekûn içinde yazıl ve çizil! 
     İnsanlar zindanda birer kemmiyet; 
     Urbalarla kemik, mintanlarla et. 
Somurtuş ki bıçak, nâra ki tokat; 
Zift dolu gözlerde karanlık kat kat...
Yalnız seccâdemin yününde şefkat; 
     Beni kimsecikler okşamaz mâdem; 
     Öp beni alnımdan, sen öp seccâdem! 
Çaycı, getir, ilâç kokulu çaydan! 
Dakika düşelim, senelik paydan! 
Zindanda dakika farksızdır aydan.
     Karıştır çayını zaman erisin; 
     Köpük köpük, duman duman erisin! 
Peykeler, duvara mıhlı peykeler; 
Duvarda, başlardan, yağlı lekeler,
Gömülmüş duvara, baş baş gölgeler...
     Duvar, katil duvar, yolumu biçtin! 
     Kanla dolu sünger... Beynimi içtin! 
Sükût... Kıvrım kıvrım uzaklık uzar; 
Tek nokta seçemez dünyadan nazar.
Yerinde mi acep, ölü ve mezar? 
     Yeryüzü boşaldı, habersiz miyiz? 
     Güneşe göç var da, kalan biz miyiz?                                                 
Ses demir, su demir ve ekmek demir...
İstersen demirde muhali kemir,
Ne gelir ki elden, kader bu, emir...
     Garip pencerecik, küçük, daracık; 
     Dünyaya kapalı, Allaha açık.                                                               
Dua, dua, eller karıncalanmış; 
Yıldızlar avuçta, gök parçalanmış.
Gözyaşı bir tarla, hep yoncalanmış...
     Bir soluk, bir tütsü, bir uçan buğu; 
     İplik ki, incecik, örer boşluğu.                                                             
Ana rahmi zâhir, şu bizim koğuş; 
Karanlığında nur, yeniden doğuş...
Sesler duymaktayım: Davran ve boğuş! 
     Sen bir devsin, yükü ağırdır devin! 
     Kalk ayağa, dimdik doğrul ve sevin!                                                 
Mehmed'im, sevinin, başlar yüksekte! 
Ölsek de sevinin, eve dönsek de! 
Sanma bu tekerlek kalır tümsekte! 
     Yarın, elbet bizim, elbet bizimdir! 
     Gün doğmuş, gün batmış, ebed bizimdir! 
                                                               (1961)",35
Bakışların,Victor Hugo,"Bir bakışın kudreti bin lisanda yoktur
Bir bakış bazen şifa bazen zehirli oktur...
Bir bakış bir aşığa neler neler anlatır
Bir bakış bir aşığı saatlerce ağlatır.
Bir bakış bir aşığı aşkından emin eder
Sevişenler daima gözlerle yemin eder...",36
Tek Hece Aşk,Cemal Safi,"Var mı beni içinizde tanıyan
Yaşanmadan çözülmeyen sır benim
Kalmasa da şöhretimi duymayan
Kimliğimi tarif etmek zor benim
Bülbül benim lisanımla ötüştü
Bir gül için can evinden tutuştu
Yüreğine Toroslar’ dan çığ düştü
Yangınımı söndürmedi kar benim
Niceler sultandı, kraldı, şahtı
Benimle değişti talihi, bahtı
Yerle bir eyledim taç ile tahtı
Akıl almaz hünerlerim var benim
Kamil iken cahil ettim alimi
Vahşi iken yahşi ettim zalimi
Yavuz iken zebun ettim Selimi
Her oyunu bozan gizli zor benim
Yeryüzünde ben ürettim veremi
Lokman Hekim bulamadı çaremi
Aslı için kül eyledim Keremi
İbrahim’in atıldığı kor benim
Sebep bazı Leyla bazı Şirin'di
Hatırım için yüce dağlar delindi
Bilek gücüm Ferhat ile bilindi
Kuvvet benim, kudret benim, fer benim
İlahimle Mevlana’yı döndürdüm
Yunusumla öfkeleri dindirdim
Günahımla çok ocaklar söndürdüm
Mevladanım hayır benim, şer benim
Benim için yaratıldı Muhammed
Benim için yağdırıldı o rahmet
Evliyanın sözündeki muhabbet
Enbiyanın yüzündeki nur benim
Kimsesizim hısmım da yok hasmım da
Görünmezim cismimde yok resmim de
Dil üzmezim tek hece var ismimde
Barınağım gönül denen yer benim
Benim adım aşk!",37
Beni Sevmeni İstiyorum,Cemal Safi,"Seninle buluşmamız ne kadar zor olsa da, 
Senden sadece beni sevmeni istiyorum.
Beş dakika baş başa kalmamız suç olsa da
Senden sadece beni sevmeni istiyorum.
Çağırsam bile gelme, yorulma ne olursun,
Sen üzülme, incinme, kırılma ne olursun,
Beni yanlış anlama, darılma ne olursun,
Senden sadece beni sevmeni istiyorum.
Bir gün bensiz kalsan da benimle yaşamanı,
Aşkımın değerini sır gibi taşımanı,
Nemli bakışlarınla resmimi okşamanı 
Senden sadece beni sevmeni istiyorum.
Senden tek dileğim var, özel imtiyaz değil,
Kulun başka bir kula ibadeti farz değil,
Haşa! Yaratan gibi beş vakit namaz değil,
Senden sadece beni sevmeni istiyorum.",38
Ayrılık Hediyesi,Yusuf Hayaloğlu,"Şimdi saat sensizin ertesi
Yıldız dolmuş gökyüzü ayaydın
Avutulmuş çocuklar çoktan sustu
Bir ben kaldım bir ben kaldım
Tenhasında gecenin avutulmamış ben
Şimdi gözlerime ağlamayı öğrettin ki bu yaşlar
Utangaç boynunun kolyesi olsun
Buda benim sana buda benim sana ayrılırken hediyem olsun
Soytarılık etmeden güldürebilmek seni
Ekmek çalmadan
Doyurabilmek ve haksızlık etmeden doğan güneşe bütün
Aydınlıları içine süzebilmek gibi mülteci isteklerim oldu
Arasıra biliyorsun
Şimdi iyi niyetlerimi bir bir
Yargılayıp asıyorum
Bu son olsun bu son olsun
Şimdi saat yokluğun belası
Sensiz gelen sabaha günaydın
İşi gücü olanlar çoktan gittiler
Bir ben kaldım bir ben kaldım
Voltasında gecenin hiç uyumamış ben
Şimdi gözlerime ağlamayı öğrettin ki bu yaşlar
Utangaç boynunun kolyesi olsun
Buda benim sana buda benim sana ayrılırken hediyem olsun
Kafamı duvara vurmadan tanıyabilmek seni
Beyninin içindekileri anlayabilmek ve yitirmeden yüzündeki 
anlık
Tebessümü
Bütün saatleri öylece dondurabilmek için
Çıldırasıya parladım kendimi lanet olsun
Artık sigarayı üç pakete çıkardım günde
Olsun güzelim olsun ne olacaksa olsun",39
Gözlerin İstanbul Oluyor Birden,Yavuz Bülent Bakiler,"Seninle bir yağmur başlıyor iplik iplik,
Bir güzellik doğuyor yüreğime şiirden.
Martılar konuyor omuzlarıma,
Gözlerin İstanbul oluyor birden.
Akşamlardan, gecelerden, senden uzağım
Şiirlerim rüzgardır uzak dağlardan esen
Durgun sular gibi azalacağım
Bir gün, birdenbire çıkıp gelmesen.
Şarkılarla geleceksin, duygulu, ince
Yalnız gözlerime bak diyeceksin.
Ellerim usulca ellerine değince
Kaybolup gideceksin
Bir elim seni çizecek bütün pencerelere
Bir elim seni silecek.
Kalbim: Ebemkuşağı; günde bin kere
Senin için yeni baştan can kesilecek.
Ne güzel seni bulmak bütün yüzlerde
Sonra seni kaybetmek hemen her yerde
Ne güzel bineceğim vapurları kaçırmak
Yapayalnız kalmak iskelelerde.
Seninle bir yağmur başlıyor iplik iplik,
Bir güzellik doğuyor yüreğime şiirden.
Martılar konuyor omuzlarıma,
Gözlerin İstanbul oluyor birden.",40
Bu Aşk Burada Biter,Ataol Behramoğlu,"Bu aşk burada biter ve ben çekip giderim
Yüreğimde bir çocuk cebimde bir revolver
Bu aşk burda biter iyi günler sevgilim
Ve ben çekip giderim bir nehir akıp gider
Bir hatıradır şimdi dalgın uyuyan ....................",41
Bedava,Orhan Veli Kanık,"Bedava yaşıyoruz, bedava; 
Hava bedava, bulut bedava; 
Dere tepe bedava; 
Yağmur çamur bedava; 
Otomobillerin dışı,
Sinemaların kapısı,
Camekanlar bedava; 
Peynir ekmek değil ama
Acı su bedava; 
Kelle fiyatına hürriyet,
Esirlik bedava; 
Bedava yaşıyoruz, bedava.",42
Aşka Sevdalanma,Fuzuli,"Can verme sakın aşka aşk afeti candır
Aşk afeti can olduğu meşhuru cihandır
Sakın isteme sevdayı gam aşkta her an
Kim istedi sevdayı gamlı aşk ziyandır
Her ebrulu güzel elinde bir hançeri honriz
Her zülfü siyah yanında bir zehirli yılandır
Yahşi görünür yüzleri güzellerin emma
Yahşi nazar ettikte sevdaları yamandır
Aşk içre azap olduğu bilirem kim
Her kimseki aşıktır işi ahü figandır
Yadetme güzel gözlülerin merdümi çeşmin
Merdüm deyip aldanma kim içtikleri kandır
Gel derse Fuzuli ki güzellerde vefa var
Aldanmaki şair sözü elbette yalandır.",43
Aşk Başlamadan Güzel,Ümit Yaşar Oğuzcan,"Aşk başlamadan güzel,
Kalplerde heyecan
Bakışlarda korku olduğu za....................",44
Merdiven,Ahmet Haşim,"Ağır ağır çıkacaksın bu merdivenlerden
Eteklerinde güneş rengi bir yığın yaprak
Ve bir zaman bakacaksın semaya ağlayarak
Sular sarardı yüzün perde perde solmakta 
Kızıl havaları seyret ki akşam olmakta
Eğilmiş arza kanar muttasıl kanar güller 
Durur alev gibi dallarda kanlı bülbüller 
Sular mı yandı neden tunca benziyor mermer
Bu bir lisân-ı hafidir ki ruha dolmakta
Kızıl havaları seyret ki akşam olmakta",45
Acılara Tutunmak,Hasan Hüseyin Korkmazgil,"Acı çekmek özgürlükse 
Özgürdük ikimiz de 
O, yuvasız çalıkuşu 
Bense kafeste kanarya 
O, dolaşmış daldan dala 
Savurmuş yüreğini 
Ben bölmüşüm yüreğimi 
Başkaldıran dizelere 
Kavuşmak özgürlükse 
özgürdük ikimiz de 
elleri çığlık çığlık 
yan yana iki dünya 
ikimiz iki dağdan 
iki hırçın su gibi 
akıp gelmiştik 
buluşmuştuk bir kavşakta 
unutmuştuk ayrılığı 
yok saymıştık özlemeyi 
şarkımıza dalmıştık 
mutluluk mavi çocuk 
oynardı bahçemizde 
aramakmış oysa sevmek 
özlemekmiş oysa sevmek 
bulup bulup yitirmekmiş 
düşsel bir oyuncağı 
yalanmış hepsi yalan 
sevmek diye bir şey vardı 
sevmek diye bir şey yokmuş 
Acı çektim günlerce 
Acı çektim susarak 
Şu kısacık konutlukta 
Deprem kargaşasında 
Yaşadım birkaç bin yıl 
Acılara tutunarak 
Acı çekmek özgürlükse 
Özgürüz ikimizde 
acılardan artakalan 
işte o bakışlarmış 
kuğu diye gözlerimde 
gün batımı bulutlarmış 
yalanmış hepsi yalan 
savrulup gitmek varmış 
ayrı yörüngelerde...",46
Ağlarsın,Cemal Safi,"Kırdığın kadehte kalan ömrümden, 
Ağlarsın içtiğin yılları bilsen.
Hicrinle sararıp solan ömrümden, 
Ağlarsın biçtiğin dalları bilsen.
Sefiller gücünü bende sınadı, 
Kimi kaçık dedi, kimi bunadı; 
Berdûş eleştirdi, sarhoş kınadı, 
Ağlarsın düştüğüm dilleri bilsen.
Ar ettim sakladım uğraşlarımı, 
Haberdâr etmedim sırdaşlarımı.
Gizlemek isterken gözyaşlarımı, 
Ağlarsın seçtiğim yolları bilsen.
Felsefe böyledir dîvânelerde, 
Teselli aranır bahanelerde, 
Bir kadeh mey için meyhânelerde, 
Ağlarsın döktüğüm dilleri bilsen.
Ateşe su dedim göz göre göre, 
Aklım zavallıydı duyguma göre, 
Bahtına şükretti Mecnûn bin kere, 
Ağlarsın düştüğüm çölleri bilsen.",47
